,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,solver,tol,Validation accuracy
0,logistic,0.005,10.0,"[5, 10]",0.001,5000,adam,1e-06,1.0
1,logistic,0.001,10.0,"[3, 5]",0.001,5000,adam,1e-06,1.0
2,logistic,0.001,10.0,"[3, 5]",0.005,5000,adam,1e-06,1.0
3,logistic,0.001,10.0,"[3, 5]",0.1,5000,adam,1e-06,1.0
4,logistic,0.001,10.0,"[5, 10]",0.001,5000,adam,1e-06,1.0
5,logistic,0.001,10.0,"[5, 10]",0.005,5000,adam,1e-06,1.0
6,logistic,0.001,10.0,"[5, 10]",0.1,5000,adam,1e-06,1.0
7,logistic,0.005,32.0,"[5, 10]",0.1,5000,adam,1e-06,1.0
8,logistic,0.005,32.0,"[5, 10]",0.005,5000,adam,1e-06,1.0
9,logistic,0.005,32.0,"[5, 10]",0.001,5000,adam,1e-06,1.0
10,logistic,0.005,10.0,"[5, 10]",0.005,5000,adam,1e-06,1.0
11,logistic,0.005,10.0,"[5, 10]",0.1,5000,adam,1e-06,1.0
12,logistic,0.001,10.0,"[2, 3]",0.001,5000,adam,1e-06,0.9941176470588236
13,logistic,0.001,32.0,"[5, 10]",0.005,5000,adam,1e-06,0.9941176470588236
14,logistic,0.001,32.0,"[5, 10]",0.1,5000,adam,1e-06,0.9941176470588236
15,logistic,0.001,10.0,"[2, 3]",0.005,5000,adam,1e-06,0.9941176470588236
16,logistic,0.001,32.0,"[5, 10]",0.001,5000,adam,1e-06,0.9941176470588236
17,logistic,0.001,10.0,"[2, 3]",0.1,5000,adam,1e-06,0.9941176470588236
18,logistic,0.005,32.0,"[2, 3]",0.1,5000,adam,1e-06,0.9705882352941178
19,logistic,0.005,32.0,"[2, 3]",0.005,5000,adam,1e-06,0.9705882352941178
20,logistic,0.005,32.0,"[2, 3]",0.001,5000,adam,1e-06,0.9705882352941178
21,logistic,0.005,10.0,"[3, 5]",0.001,5000,adam,1e-06,0.9647058823529411
22,logistic,0.005,10.0,"[3, 5]",0.1,5000,adam,1e-06,0.9647058823529411
23,logistic,0.005,10.0,"[3, 5]",0.005,5000,adam,1e-06,0.9647058823529411
24,logistic,0.005,32.0,"[3, 5]",0.001,5000,adam,1e-06,0.9411764705882353
25,logistic,0.005,32.0,"[3, 5]",0.1,5000,adam,1e-06,0.9411764705882353
26,logistic,0.005,32.0,"[3, 5]",0.005,5000,adam,1e-06,0.9411764705882353
27,logistic,0.001,32.0,"[2, 3]",0.005,5000,adam,1e-06,0.9176470588235294
28,logistic,0.001,32.0,"[2, 3]",0.001,5000,adam,1e-06,0.9176470588235294
29,logistic,0.001,32.0,"[2, 3]",0.1,5000,adam,1e-06,0.9176470588235294
30,logistic,0.005,,"[5, 10]",0.1,5000,adam,1e-06,0.8647058823529413
31,logistic,0.005,,"[5, 10]",0.005,5000,adam,1e-06,0.8647058823529413
32,logistic,0.005,,"[5, 10]",0.001,5000,adam,1e-06,0.8647058823529413
33,logistic,0.001,32.0,"[3, 5]",0.005,5000,adam,1e-06,0.8647058823529411
34,logistic,0.001,,"[5, 10]",0.1,5000,adam,1e-06,0.8647058823529411
35,logistic,0.001,,"[5, 10]",0.005,5000,adam,1e-06,0.8647058823529411
36,logistic,0.001,,"[5, 10]",0.001,5000,adam,1e-06,0.8647058823529411
37,logistic,0.001,32.0,"[3, 5]",0.001,5000,adam,1e-06,0.8647058823529411
38,logistic,0.001,32.0,"[3, 5]",0.1,5000,adam,1e-06,0.8647058823529411
39,logistic,0.005,10.0,"[2, 3]",0.005,5000,adam,1e-06,0.823529411764706
40,logistic,0.005,10.0,"[2, 3]",0.001,5000,adam,1e-06,0.823529411764706
41,logistic,0.005,10.0,"[2, 3]",0.1,5000,adam,1e-06,0.823529411764706
42,logistic,0.1,,"[2, 3]",0.001,5000,adam,1e-06,0.6176470588235294
43,logistic,0.1,,"[3, 5]",0.001,5000,adam,1e-06,0.6176470588235294
44,logistic,0.1,10.0,"[5, 10]",0.1,5000,adam,1e-06,0.6176470588235294
45,logistic,0.1,32.0,"[2, 3]",0.001,5000,adam,1e-06,0.6176470588235294
46,logistic,0.1,32.0,"[2, 3]",0.005,5000,adam,1e-06,0.6176470588235294
47,logistic,0.1,32.0,"[2, 3]",0.1,5000,adam,1e-06,0.6176470588235294
48,logistic,0.1,,"[3, 5]",0.1,5000,adam,1e-06,0.6176470588235294
49,logistic,0.1,,"[3, 5]",0.005,5000,adam,1e-06,0.6176470588235294
50,logistic,0.1,32.0,"[3, 5]",0.001,5000,adam,1e-06,0.6176470588235294
51,logistic,0.1,,"[2, 3]",0.005,5000,adam,1e-06,0.6176470588235294
52,logistic,0.1,32.0,"[3, 5]",0.005,5000,adam,1e-06,0.6176470588235294
53,logistic,0.1,32.0,"[3, 5]",0.1,5000,adam,1e-06,0.6176470588235294
54,logistic,0.1,32.0,"[5, 10]",0.001,5000,adam,1e-06,0.6176470588235294
55,logistic,0.1,32.0,"[5, 10]",0.005,5000,adam,1e-06,0.6176470588235294
56,logistic,0.1,32.0,"[5, 10]",0.1,5000,adam,1e-06,0.6176470588235294
57,logistic,0.1,,"[2, 3]",0.1,5000,adam,1e-06,0.6176470588235294
58,logistic,0.1,10.0,"[5, 10]",0.001,5000,adam,1e-06,0.6176470588235294
59,logistic,0.1,10.0,"[5, 10]",0.005,5000,adam,1e-06,0.6176470588235294
60,logistic,0.1,10.0,"[2, 3]",0.001,5000,adam,1e-06,0.6176470588235294
61,logistic,0.1,10.0,"[3, 5]",0.1,5000,adam,1e-06,0.6176470588235294
62,logistic,0.1,10.0,"[3, 5]",0.001,5000,adam,1e-06,0.6176470588235294
63,logistic,0.1,10.0,"[2, 3]",0.1,5000,adam,1e-06,0.6176470588235294
64,logistic,0.1,10.0,"[2, 3]",0.005,5000,adam,1e-06,0.6176470588235294
65,logistic,0.1,10.0,"[3, 5]",0.005,5000,adam,1e-06,0.6176470588235294
66,logistic,0.005,,"[2, 3]",0.005,5000,adam,1e-06,0.5470588235294118
67,logistic,0.001,,"[2, 3]",0.1,5000,adam,1e-06,0.5470588235294118
68,logistic,0.001,,"[2, 3]",0.005,5000,adam,1e-06,0.5470588235294118
69,logistic,0.001,,"[2, 3]",0.001,5000,adam,1e-06,0.5470588235294118
70,logistic,0.005,,"[2, 3]",0.001,5000,adam,1e-06,0.5470588235294118
71,logistic,0.005,,"[2, 3]",0.1,5000,adam,1e-06,0.5470588235294118
72,logistic,0.1,,"[5, 10]",0.001,5000,adam,1e-06,0.5352941176470589
73,logistic,0.1,,"[5, 10]",0.005,5000,adam,1e-06,0.5352941176470589
74,logistic,0.1,,"[5, 10]",0.1,5000,adam,1e-06,0.5352941176470589
75,logistic,0.005,,"[3, 5]",0.001,5000,adam,1e-06,0.49411764705882355
76,logistic,0.005,,"[3, 5]",0.005,5000,adam,1e-06,0.49411764705882355
77,logistic,0.005,,"[3, 5]",0.1,5000,adam,1e-06,0.49411764705882355
78,logistic,0.001,,"[3, 5]",0.001,5000,adam,1e-06,0.49411764705882355
79,logistic,0.001,,"[3, 5]",0.005,5000,adam,1e-06,0.49411764705882355
80,logistic,0.001,,"[3, 5]",0.1,5000,adam,1e-06,0.49411764705882355
